texts	answers	labels
Здравствуйьте. Искал ответ на вопрос на сайте,но не нашел. В контакте часто вижу наклейку на аватарках групп о том,что они прошли Вашу проверку. Как сделать так,чтобы и моя группа прошла вашу проверку?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Я инвалид 2группы и позтому индентификацию могу пройти заочно.Для этого 7.04.2017 заполнил все требуемые паспортные данные и также повторил по скайпу.Но оказалось ,что -то не прошёл.Прошу сообщить пожалуйста мне ошибку и повторить только заочно для уточнения не соответствия.	Обратитесь в поддержку букмекера.	185
Здравствуйте Уважаемый Рейтинг букмекеров.Как можно получить вашу проверку на вкладку капперы,т.е попасть в список проверенных капперских сайтов?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
"Добрый вечер уважаемые ""РБ"" . Хочу попасть в ваш рейтинг капперов,точнее свою группу дать на проверку.."	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Куда можно предложить сайт каппера на проверку?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Скажите, как мне подать заявку на проверку группы в ВК(прогнозы на спорт)?	Пожалуйста пишите на эту почту: serezha_kirillov_83@mail.ru	211
"Доброго времени суток! Наблюдаю что многие сайты и группы в вк отмечены тем что прошли проверку ""Рейтинга Букмекеров"". Скажите пожалуйста как пройти вашу проверку?"	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Добрый день,хочу отправить свою группу по ставкам на проверку и получить одобрение,как это возможно сделать?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Добрый день. Как я могу пройти проверку на вашем ресурсе? Наш сайт streambet.ru.	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Как пройти проверку у Вас, если у меня есть паблик 3800 участников?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Здравствуйте я занимаюсь прогнозами на спорт и их продажей в социальной сити вконтакте. Есть ли возможность пройти у вас проверку?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Почему мой прогноз Эвертон - Лестер не прошел проверку? Всё же написано нормально	" Для того, чтобы Ваш прогноз претендовал на попадание на главную страницу """"""""""""""""Трибуны"""""""""""""""", он должен быть размещен не позднее, чем за 2 часа до события."	9
Добрый день, как можно выложить группу на проверку?	Пожалуйста пишите на эту почту: serezha_kirillov_83@mail.ru	211
"Здравствуйте я администратор одного из пабликов в ВК по тематике ""Прогнозы на спорт"" хотел бы пройти проверку у вас. Куда обратиться?"	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Скажите пожалуйста, как отправить группу с прогнозами в ВК к вам на проверку?	Пожалуйста пишите на эту почту: serezha_kirillov_83@mail.ru	211
Всем доброго времени! такой вопрос:как пройти проверку прогнозистов , веду группу, планирую создать сайт,хотелось бы пройти проверку и вступить в ваш рейтинг!	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
есть каппер /Вопрос отредактирован. Ссылки на сторонние ресурсы и адреса запрещены/, не могу найти его в рейтинге, как добавить его на проверку?	Добрый день.Если Вы заинтересованы в добавлении капперского сайта или группы в рейтинг капперов, для начала внимательно ознакомьтесь с  нашими правилами и критериями оценки капперов . В правилах можно найти ответы на все вопросы. Затем подавайте заявку.	115
Находится в процессе создания мой сайт, в котором я буду давать прогнозы. Скажите пожалуйста, что нужно будет сделать что бы он прошел проверку РБ? И какое время на это понадобится?	Пришлите запрос на почту службы поддержки. Менеджер, работающий с капперами, свяжется с вами.	228
приветствую, веду свой паблик в ВК ставки полностью верфицированы на сервисе betonsuccess, как пройти вашу проверку? /Комментарий был отредактирован. Ссылки на сторонние ресурсы запрещены/	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Как подать заявку на проверку своей группы вконтакте?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
"Есть свой капперский проект, хочу пройти проверку сайта ""Рейтинг букмекеров"". Куда надо подать заявку?"	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
надо ли пройти идентификацию ЦУПИС при регистрации?	В Winline идентификация нужна	54
Я сделал ставку, потом уже через 3 дня пишут что сайт заблокировали, могу я вернуть деньги ?	Обратитесь в поддержку букмекера.	185
Добрый день, у меня вопрос касательно конторы 1xbet. Поставил свою первую ставку в этой конторе (крупную сумму) на событие ночью с коэффициентом 1,43, утром захожу в историю ставок стоит 1,2. Скрины не делал. Насколько реально доказать их мошенничество?	Обратитесь в поддержку пожалуйста. Если ответ вас не устроит, пожалуйста заполните  форму жалобы . 	186
Могут ли граждане Снг сделать ставку в букмекерской конторе? Или только с паспортом Рф?	ЦУПИС создан для жителей Рф.	279
Как получить прогноз, и где можно поставить ставку онлайн?	"Ищите прогнозы не в разделе «прогнозы», а в разделе « капперы """""""".Чтобы ваши прогнозы попадали на трибуну капперов, пользуйтесь  рекомендациями по написанию прогнозов . "	147
Делал ставку на хоккей, общая сумма выигрыш составила 13.000 грн . Данная БК отказывается выплачивать средства, ссылаясь на непонятные причины. Что мне делать ? Заранее спасибо	Заполните форму жалобы, пожалуйста.	139
Является ли бк мошенником, если заранее зная результат матча приняла лайв ставку и отказывается вернуть деньги? Источник:  	Все кто принимают участие в организации договорных матчей являются мошенниками. 	86
Доброго времени суток, можно ли как то исправить прогноз после его публикации или удалить его? В спешке прописал не ту команду в итоговой ставке и теперь совсем не ловко подталкивать людей на, вероятно, проигрышную ставку  	Текст прогноза Вы можете исправить самостоятельно. Для исправления ставки следует написать модераторам в комментариях к своему прогнозу.	265
три дня назад поставил ставку выбрал экспресс вроде бы все съиграло только я незнаю одной игры из экспресса тенисный матч ну я думаю что моя ставка съиграла. я не могу получить расчет уже 3 дня	Обратитесь в поддержку пожалуйста. Если ответ вас не устроит, пожалуйста заполните  форму жалобы . 	186
Я сделал ставку на кассе получил чек выиграл но деньги мне не отдают я поставил 200 шт выигрыш составляет 233 шт подскажите что можно сделать это контора мошенников	Заполните форму жалобы, пожалуйста.	139
Я из Армении и для меня закрыт букмекер ВильямХилл. Скажите пожалуйста как зайти и сделать ставку, можно ли использовать какие нибудь приложения чтобы обойти блокировку (допустим ZenMate). Спасибо!	Армения входит в список запрещенных стран в William Hill. Являясь гражданином Армении, вы не сможете зарегистрироваться на сайте данного букмекера. 	45
рассчитайте пожалуйста ставку	Пожалуйста, пишите подобные просьбы в комментариях под прогнозом, хоть они и не ускорят время расчета.	212
Просто недавно я дал прогноз и ставку, а результат ещё не рассчитан. Пишут, что Ординар не разыгран.	Расчет ставок занимает определенное время. Пожалуйста, подождите.	243
Если я перееду в другую страну, смогу ли я пользоваться своими счетами зарегистрированными в России, т.е делать ставки и выводить деньги, скажем из Италии, и кому в таком случае платить налоги?	 Вы сможете пользоваться счетами, если данная контора не ограничивает игроков из Италии. Список запрещенных стран можно посмотреть в обзоре конторы.  	7
В недавней теме   2 недели назад Дмитрий подробно описал недостатки существующей системы. Скажите, будут ли внесены изменения в формулу расчёта прибыли? Иначе ставки с кэфом меньше 2 не имеют смыла. Спасибо!	 Мы принимаем все замечания и предложения от наших пользователей. Изменения в формуле подсчета будут внесены. Спасибо за вопрос! 	19
В какой букмекерской конторе можно делать ставки в mlb именно на победу питчера, а не на победу команды ?	Ставки на страйк-ауты принимает Марафон и Бетсити	260
Решил ставить ставки, какую букмекерскую конторы посоветуете?	Мы рекомендуем ставить у букмекеров с оценкой 4 и 5!	165
Интересует БК, которая принимает ставки на футбол в компенсируемое время, (вплоть до свистка), знаю что принимал и принимает МАРАФОН БЕТ, но на моем счете порезали макс-ы, вот ищу замену. Прошу помочь с поиском.	Из тех, которые можно посоветовать, Sbobet и Tonybet.	145
