id,question,answer,title
0,"Играя онлайн, какими средствами ввода-вывода и платёжными банковскими карточками лучше всего пользоваться или какими пользуются эксперты РБ?","Зависит от количества контор в которых вы собираетесь играть. Если это одна контора, то самый удобный метод это карточка VISA. В отличии от Mastercard на нее выплачивают все букмекерские конторы.
Если вы собираетесь играть в нескольких конторах, и перекидывать деньги из одной в другую, то лучше выбрать платежную систему. Например Skrill. Почти везде на Skrill выплаты обрабатываются в течении нескольких часов.
Недостаток платежных систем в том что там прийдется пройти <a href=""https://bookmaker-ratings.ru/wiki/verifikatsiya-igroka-bukmekerskoj-kontory/"">верификацию</a>.",Ввод-вывод средств
1,Сколько вам платят ВХ и Сбо за пятерки в рейтинге?,"Вот <a href=""https://bookmaker-ratings.ru/rasprodazha-otsenok-na-reytinge-bukmekerov-tsenyi-nizhe-otsenki-vyishe/"">пост</a> на эту тему опубликован ПЕРВОГО апреля.",Сколько стоит пятерка на РБ?
2,"Вам нужны сотрудники? Опыт - два года на ""Чемпионат.com"", в ставках еще дольше.","Добрый день, Максим!

Отправьте свое резюме на paruyr@bookmakersrating.ru пожалуйста. ",Работа
3,Считается ли вилкой ставка до матча на событие и страхующая ставка в лайве (в одной и той же и в разных конторах)?,"Разумеется, что нет. Во-первых, в live, во всех конторах маржа становится хуже для игроков, чем по ставкам перед началом игры. Т. е. у вас вряд ли получится выйти в плюс даже при условии, что вы почти сразу оформите на противоположный исход после начала игры. В лучшем случае вы потеряете незначительную сумму. Ну а если ждать еще какое-то время, то вообще не факт, что события будут развиваться в нужном направлении, чтобы выйти в плюс. В общем, нет. А если по фактам, то в отечественных букмекерах любые 2-5 ставок подряд на сумму от 10 000 рублей считают вилками, не зависимо от того, вилку вы оформляли или нет. Это из личного опыта. В общем, в приличных зарубежных конторах играть таким образом дадут без сомнений. Но опять же, это не совсем вилки, а все-таки обычные ставки на ваш риск, поэтому никаких санкций к вам не применят. Я лично порой делаю так в зарубежных конторах, когда пытаюсь угадать начало развития событий в конкретном матче. В некоторых букмекерах на такие моменты есть функция Cash-Out, позволяющая выйти в плюс, если события развиваются в нужном направлении, или не потерять слишком много, если события идут ""не по сценарию"". Т. е. в таких конторах вообще не обязательно перекрываться в других, это можно сделать прямо в этих же конторах.",Вилки
4,"Здравствуйте, читал пост о порезке счетов, возник вопрос. Если я не послегольщик и не вилочник, играю допустим в 1хбет и Вильям Хил, сколько можно мне выигрывать и выводить (в месяц) чтобы счет не порезали? Ведь чтобы кто ни говорил, мол честным игрокам счет не режут, это не так. Я читал интервью с представителем 1хбет, он говорил, что существует некий порог лояльности к плюсовым гирокам, правда не назвал его. Мне интересно - сколько это? 10 000 р. в месяц? 100 000 в месяц? Сколько в месяц можно выигрывать и выводить? Такие бк как Пинакл и Сбобет мне не подходят по тем же причинам, что и Константину Геничу (см. обзор на ютубе). Биржа ставок тоже не нравится. Миллион в месяц (с одной конторы) мне не надо, я лучше заведу счета в 10 конторах и буду выводить с каждой... Только вот сколько можно ыводить, не опасаясь порезки лимита? Спасибо за внимание","Можно выигрывать если ставить например проверенную информацию доги.Такие матчи были всегда и будут на самых высоких уровнях,и доказать что они нечестно играют никто не сможет, так как там замешены даже такие команды как Зенит,Спартак,ЦСКА,а их президенты собственники и.т.д,одни из самых влиятельных людей страны которые контролируют все инстанции от федераций до судов .",Сколько можно выигрывать
5,"Я правильно понимаю:-,если меня спалила контора с оценкой 4 или 5, за мультик, то максимум забанит этот мультиаккаунт, а деньги я смогу вывести?","Мультиаккаунтинг нельзя доказать, поэтому платят. Если докажут или игрок признается, то не заплатят. ",вопрос по сути:-)
6,"В ответе на мою претензию указанно, что я отношусь к вилочникам, на каком основании сделаны такие выводы?","Дайте ссылку на вашу жалобу пожалуйста, я посмотрю в чем дело. 

В любом случае вилочник вы или нет ничего не меняет с точки зрения решения жалобы. Мы требуем от контор чтобы они относились к любым типам игроков одинаково.  ",претензия
7,"Должны ли конторы давать возвраты по договорным матчам только по своим убеждениям?(То есть официальные организации и.т.д матч договорным(нечестным не признают),а букмекеры объявляют его договорным исходя из своего мониторинга там 90% ставок ставилось на определенный исход)Пример последний чемпионат Украины где букмекеры сказали что было куча договорных матчей но официальные комиссии ФФУ и Премер-лиги не признали ни одного матча договорным.","Согласен с самым первым комментарием. Дело в том, что таким методом букмекер может признать абсолютно любой матч договорным. На самом деле букмекер не имеет права признавать матч договорным, если сама организация или федерация организатора турнира не признает его таковым, а игроки или команды не будут наказаны. На практике же подобные махинации связаны больше с тем, что данный матч просто-напросто принес убыток букмекерской конторе. Кстати, это очень хороший вопрос. Я давно задумывался над ним. Лично по моему мнению, любой игрок, которому контора отказывается выплачивать таким образом выигрыш, обратившись в суд, на 99 % выиграет дело, так как у конкретной конторы попросту не будет доказательств того, что матч носил договорной характер. Сами посудите, господа: какие могут быть доказательства? То, что определенная группа проставила большие деньги на определенный исход? Разве это доказательство? Суд не примет это во внимание. В общем, ответ очень прост: это одна из новых махинаций букмекеров, построенная на том, чтобы не платить выигрыши игрокам по матчам, которые несут наибольшие убытки букмекеру. А суть вся сводится к тому, что вряд ли кто-то реально обратится в суд. Но опять же, если кто-то и обратится, то на 99 % выиграет дело, а, скорее, до суда и не дойдет. Узнав об иске букмекер немедленно выплатит выигрыш. Я давно хотел предложить РБ добавлять подобные жалобы не в безосновательные, а в неудовлетворенные, если сама организация конкретного турнира не признает матч договорным, так как в большинстве случаев подобные махинации - это грамотный ход борьбы с матчами, которые несут убытки.",Договорные матчи
8,В каких конторах возможен вывод средств через western union?,"Эта информация есть на нашем сайте!<br />
https://bookmaker-ratings.ru/supported_payments/western-union/",Western Union
9,"Бк мачбук заблокировала мой счет, помогите разобраться","Заполните пожалуйста форму<br />
https://bookmaker-ratings.ru/bookmakers-homepage/forma-zhalob/",помогите
